"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1722","MO","Missouri",6407.62871678429,0.0523985095656319,0.0634409719763923,46087.6039730496,68238.0027334392,21,"Buchanan",35964,35106,12013,15594,21320,18660,FALSE,0.360393603936039,0.455246102644947
"1723","MI","Michigan",1309.7599815511,0.0300231373740849,0.0679058318800266,46512.2948578204,40035.0013625473,27,"Cass",22595,22490,7270,9591,14243,12659,TRUE,0.337935201970901,0.431056179775281
"1724","ID","Idaho",1172.61656386056,0.0236418488312708,0.0017605632692538,35402.2673541247,3213.00016272068,3,"Adams",2183,2061,415,577,1556,1413,FALSE,0.210553018772197,0.289949748743719
"1725","MI","Michigan",2361.06703269973,0.0239921850528017,0.00815309450787165,48572.1883280489,53589.0014123917,155,"Shiawassee",34111,33679,12546,17197,19230,15962,TRUE,0.394826283987915,0.518622395126512
"1726","ID","Idaho",2234.43117340529,0.172429655375794,0.00346438003803645,48829.2885521959,30559.0008399636,11,"Bingham",16625,17606,2924,3822,10907,13440,FALSE,0.211409153351168,0.221411192214112
"1727","UT","Utah",3288.69308680936,0.0830815434136175,0.00470235060943778,57316.5342271136,32997.0011720508,3,"Box Elder",19878,19408,2282,1984,12230,17101,FALSE,0.157249173098126,0.103955986376736
"1728","IL","Illinois",3566.67237279634,0.0213755189014764,0.00815167929156135,50770.7986232715,12739.0006007254,39,"De Witt",7556,7345,1910,2601,5077,4579,TRUE,0.273364820380707,0.362256267409471
"1729","NJ","New Jersey",6343.5550382997,0.0966702619643832,0.0757400286852273,92432.8560503188,480081.006610751,25,"Monmouth",317750,285081,137181,133820,166723,148000,FALSE,0.451395835527009,0.474842097792917
"1730","IL","Illinois",1786.99941879219,0.0268542118949088,0.00780492185278909,53207.703898051,17963.0002486706,85,"Jo Daviess",11334,11429,4462,5667,6121,5534,TRUE,0.421619578569404,0.505936969913401
"1731","","",8051.37773817213,0.993146292153254,0.00125490714977954,13678.2168093185,22647.0004693866,NA,"",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"1732","","",5724.51862236397,0.994326891251336,0.000643974329985802,15705.9385464581,23553.0004769564,NA,"",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"1733","","",7156.71676390622,0.980427052547403,0.00149351507907563,30438.9013494039,28109.0012505352,NA,"",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"1734","OH","Ohio",4326.20655423593,0.0275060899262141,0.102253261320917,44925.7788958528,105690.003341511,23,"Clark",61893,64147,23328,31297,35205,31820,TRUE,0.398544410845164,0.495856900676521
"1735","OH","Ohio",4633.45164616556,0.0340156773389761,0.0383105626237604,58707.1004081881,179015.00449428,85,"Lake",117190,118403,46397,57680,64255,58744,TRUE,0.419305570617793,0.495430495430495
"1736","OH","Ohio",3604.18207157575,0.0171734275311614,0.0679205713782774,63948.5137319029,107747.003002852,45,"Fairfield",73554,72068,24881,29890,44314,41034,TRUE,0.359578004191054,0.421437031188314
"1737","OH","Ohio",5237.76014872344,0.0337835180255336,0.101532192052786,49964.0772324498,59934.0011674464,43,"Erie",37862,39405,16057,21793,19648,16952,TRUE,0.449712925360594,0.562472577106723
"1738","TN","Tennessee",3532.71466014864,0.0160285039026384,0.0165373381457568,29590.0900648772,6220.00025099516,27,"Clay",2920,2820,707,1037,2141,1747,FALSE,0.248244382022472,0.372485632183908
"1739","TN","Tennessee",1138.30201646496,0.00822649172015762,0.011051433734091,33348.8385434452,25438.0011048317,25,"Claiborne",10740,10178,1832,2433,8602,7617,FALSE,0.175579835154303,0.242089552238806
"1740","TN","Tennessee",350.41755768107,0.0110028230562321,0.0265639755382715,48160.3467463062,4951.00008937716,127,"Moore",2926,2799,496,705,2325,2053,FALSE,0.175824175824176,0.255620014503263
"1741","TN","Tennessee",1790.48797452519,0.0699192664938888,0.0141074218547182,50983.7783384134,38688.0003764331,105,"Loudon",23391,22073,4919,5058,17610,16707,FALSE,0.218340805184429,0.232391454169538
"1742","LA","Louisiana",4015.15753810403,0.0163680878259603,0.691197360626549,27354.7600206212,5766.00043296814,35,"East Carroll",2939,4008,1838,2478,1059,1508,FALSE,0.634449430445288,0.621675865529353
"1743","KY","Kentucky",560.880702301854,0.0077569488261599,0.0451770688721912,27592.2807584572,11083.0006343126,175,"Morgan",4775,4472,1006,1369,3628,3021,FALSE,0.217091066033664,0.311845102505695
